Part,Value,Device,Package,Description,DESIGNER,PROD_ID,VALUE2,VERSION
BAT1,20mm coincell,BATTERY20MM_4LEGS,BATTCON_20MM_4LEGS,Battery Holders,,BATT-10373,20mm coincell,
JP1,,M04LOCK,1X04_LOCK,Header 4,,CONN-08392,,
JP2,,M04LOCK,1X04_LOCK,Header 4,,CONN-08392,,
JP3,,M04LOCK,1X04_LOCK,Header 4,,CONN-08392,,
JP4,,M04LOCK,1X04_LOCK,Header 4,,CONN-08392,,
D1,BLUE,LED-BLUE0603,LED-0603,Blue LEDs for produc,,DIO-08575,BLUE,
U1,TINY85-20-DIP,ATTINY45TINY85-20-DIP,DIP08,Atmel 8-pin 2/4/8kB ,,IC-09445,TINY85-20-DIP,
R1,1K,1KOHM-1/10W-1%(0603),0603-RES,RES-07856,,RES-07856,1K,
S1,DPDT,SWITCH-DPDTAYZ0202,AYZ0202,DPDT Version of the ,,SWCH-08179,DPDT,
FRAME1,,FRAME-LETTER,CREATIVE_COMMONS,Schematic Frame,NAME,,,v01
LOGO2,SFE_LOGO_FLAME.1_INCH,SFE_LOGO_FLAME.1_INCH,SFE_LOGO_FLAME_.1,SFE Logo,,,,
LOGO3,OSHW-LOGOS,OSHW-LOGOS,OSHW-LOGO-S,Open Source Hardware,,,,
LOGO4,SFE_LOGO_NAME_FLAME.1_INCH,SFE_LOGO_NAME_FLAME.1_INCH,SFE_LOGO_NAME_FLAME_.1,SFE Logo,,,,
STANDOFF1,STAND-OFF,STAND-OFF,STAND-OFF,#4 Stand Off,,,,
STANDOFF2,STAND-OFF,STAND-OFF,STAND-OFF,#4 Stand Off,,,,
